Nx=6, Ny=60, Nz=60
dx=0.166667, dy=0.166667, dz=0.166667
0.158203 0 0.421875 -1.44287 -0.849609 -2.43164 
0.632812 0.0527344 0 -1.83838 -0.256348 -0.849609 
0.0527344 0.0527344 0.738281 0.79834 0.79834 -2.16797 
0.84375 0 0.158203 -2.36572 0.205078 -0.19043 
0.263672 0.105469 0.421875 -2.10205 -2.10205 -2.89307 
0 0 1.26562 2.8418 2.8418 -2.10205 
0 0 0.896484 0.336914 0.732422 -2.23389 
0.474609 0 0 -2.10205 0.270996 0.0732422 
0 0 0.791016 -0.0585938 -0.0585938 -2.82715 
0.527344 0 0.263672 -2.23389 -0.0585938 -0.651855 
0 0 1.10742 1.65527 2.05078 -1.9043 
0 0 0.896484 2.57812 2.57812 -2.16797 
0.580078 0 0.105469 -2.23389 -0.0585938 -0.651855 
0.896484 0 0.0527344 -2.49756 0.46875 0.270996 
0.105469 0.158203 0.474609 -0.717773 -1.11328 -1.70654 
0.738281 0 0 -2.69531 0.46875 0.46875 
0.369141 0.210938 0.158203 -1.83838 -0.651855 -0.454102 
0.84375 0 0.0527344 -2.16797 1.78711 1.58936 
0 0.949219 0 0.996094 -2.56348 0.996094 
0.105469 0.685547 0 0.205078 -2.76123 0.205078 
0 1.05469 0 -0.0585938 -2.82715 -0.0585938 
0 0.84375 0 0.732422 -2.62939 0.732422 
0 1.00195 0 0.46875 -2.69531 0.46875 
0 1.10742 0 1.52344 -2.43164 1.52344 
0 1.16016 0 0.205078 -2.76123 0.205078 
0 1.16016 0 1.78711 -2.36572 1.78711 
0 1.47656 0 3.10547 -2.03613 3.10547 
0 1.16016 0 2.05078 -2.2998 2.05078 
0 1.21289 0 1.52344 -2.43164 1.52344 
0.0527344 0.791016 0 1.32568 -2.23389 1.52344 
0 1.37109 0 2.31445 -2.23389 2.31445 
0 1.31836 0 3.63281 -1.9043 3.63281 
0 1.00195 0 2.05078 -2.2998 2.05078 
0 1.00195 0 1.52344 -2.43164 1.52344 
0.0527344 0.738281 0 2.64404 -1.9043 2.8418 
