CPU 0:0 is avilable 
end to end dis 1.32944
end to end dis 1.33009
end to end dis 1.33062
end to end dis 1.32974
end to end dis 1.32972
end to end dis 1.33036
end to end dis 1.3303
end to end dis 1.32958
end to end dis 1.32999
end to end dis 1.33072
end to end dis 1.33149
end to end dis 1.33078
end to end dis 1.33034
end to end dis 1.33173
end to end dis 1.33211
end to end dis 1.33105
end to end dis 1.33237
end to end dis 1.33085
end to end dis 1.33127
end to end dis 1.33117
end to end dis 1.33004
end to end dis 1.33055
end to end dis 1.33173
end to end dis 1.33185
end to end dis 1.33164
end to end dis 1.33212
end to end dis 1.33287
end to end dis 1.33219
end to end dis 1.33185
end to end dis 1.33196
end to end dis 1.33145
end to end dis 1.33135
end to end dis 1.33228
end to end dis 1.33168
end to end dis 1.33266
end to end dis 1.3324
end to end dis 1.33198
end to end dis 1.33339
end to end dis 1.33214
end to end dis 1.33229
end to end dis 1.33251
end to end dis 1.33201
end to end dis 1.33322
end to end dis 1.33311
end to end dis 1.33326
end to end dis 1.3331
end to end dis 1.3324
end to end dis 1.33379
end to end dis 1.33313
end to end dis 1.33368
end to end dis 1.33361
end to end dis 1.33337
end to end dis 1.33336
end to end dis 1.33301
end to end dis 1.33331
end to end dis 1.33266
end to end dis 1.33299
end to end dis 1.33341
end to end dis 1.33285
end to end dis 1.3324
end to end dis 1.33219
end to end dis 1.33328
end to end dis 1.33365
end to end dis 1.33356
end to end dis 1.33421
end to end dis 1.33604
end to end dis 1.33327
end to end dis 1.33523
end to end dis 1.33524
end to end dis 1.33462
end to end dis 1.3352
end to end dis 1.33442
end to end dis 1.33491
end to end dis 1.334
end to end dis 1.33483
end to end dis 1.33501
end to end dis 1.33394
end to end dis 1.33439
end to end dis 1.33454
end to end dis 1.33439
end to end dis 1.33391
end to end dis 1.33481
end to end dis 1.33547
end to end dis 1.33577
end to end dis 1.33566
end to end dis 1.33505
end to end dis 1.33529
end to end dis 1.33595
end to end dis 1.33551
end to end dis 1.33648
end to end dis 1.33497
end to end dis 1.33566
end to end dis 1.3361
end to end dis 1.33666
end to end dis 1.33662
end to end dis 1.33648
end to end dis 1.3368
end to end dis 1.3372
end to end dis 1.33758
end to end dis 1.33687
end to end dis 1.33669
end to end dis 1.33682
end to end dis 1.33528
end to end dis 1.33509
end to end dis 1.3357
end to end dis 1.33486
end to end dis 1.33546
end to end dis 1.33471
end to end dis 1.33647
end to end dis 1.33532
end to end dis 1.33642
end to end dis 1.33705
end to end dis 1.33624
end to end dis 1.3367
end to end dis 1.33635
end to end dis 1.33579
end to end dis 1.3367
end to end dis 1.33705
end to end dis 1.33703
end to end dis 1.33562
end to end dis 1.3371
end to end dis 1.33725
end to end dis 1.3367
end to end dis 1.33745
end to end dis 1.33852
end to end dis 1.33796
end to end dis 1.33781
end to end dis 1.33786
end to end dis 1.33771
end to end dis 1.33763
end to end dis 1.33746
end to end dis 1.33804
end to end dis 1.3386
end to end dis 1.33732
end to end dis 1.33754
end to end dis 1.33737
end to end dis 1.33793
end to end dis 1.33744
end to end dis 1.3379
end to end dis 1.33739
end to end dis 1.3383
end to end dis 1.33932
end to end dis 1.3385
end to end dis 1.33862
end to end dis 1.33967
end to end dis 1.34002
end to end dis 1.33852
end to end dis 1.33769
end to end dis 1.33902
end to end dis 1.33789
end to end dis 1.33751
end to end dis 1.33776
end to end dis 1.33908
end to end dis 1.33785
end to end dis 1.33863
end to end dis 1.3382
end to end dis 1.34078
end to end dis 1.33845
end to end dis 1.33914
end to end dis 1.33892
end to end dis 1.33955
end to end dis 1.33993
end to end dis 1.33955
end to end dis 1.33979
end to end dis 1.33966
end to end dis 1.34043
end to end dis 1.33932
end to end dis 1.34072
end to end dis 1.33722
end to end dis 1.33898
end to end dis 1.33955
end to end dis 1.33867
end to end dis 1.33953
end to end dis 1.3394
end to end dis 1.33819
end to end dis 1.33915
end to end dis 1.33938
end to end dis 1.33925
end to end dis 1.33949
end to end dis 1.34042
end to end dis 1.33995
end to end dis 1.33932
end to end dis 1.33921
end to end dis 1.33989
end to end dis 1.33976
end to end dis 1.33963
end to end dis 1.34035
end to end dis 1.34078
end to end dis 1.34062
end to end dis 1.34091
end to end dis 1.34021
end to end dis 1.34128
end to end dis 1.34127
end to end dis 1.34104
end to end dis 1.34045
end to end dis 1.34052
end to end dis 1.34057
end to end dis 1.33981
end to end dis 1.33984
end to end dis 1.34007
end to end dis 1.33994
end to end dis 1.33985
end to end dis 1.3395
end to end dis 1.34022
end to end dis 1.34154
end to end dis 1.34073
end to end dis 1.34136
end to end dis 1.34072
end to end dis 1.34045
end to end dis 1.34158
time =687.13
CPU 0:0 is avilable 
end to end dis 1.00295
end to end dis 1.01858
end to end dis 1.03076
end to end dis 1.04448
end to end dis 1.05521
end to end dis 1.06933
end to end dis 1.07972
end to end dis 1.09162
end to end dis 1.10289
end to end dis 1.11422
end to end dis 1.12591
end to end dis 1.13774
end to end dis 1.14737
end to end dis 1.15689
end to end dis 1.16451
end to end dis 1.17167
end to end dis 1.18005
end to end dis 1.18598
end to end dis 1.19255
end to end dis 1.19652
end to end dis 1.2013
end to end dis 1.20639
end to end dis 1.21139
end to end dis 1.21468
end to end dis 1.21897
end to end dis 1.22199
end to end dis 1.22517
end to end dis 1.22602
end to end dis 1.2303
end to end dis 1.23269
end to end dis 1.23629
end to end dis 1.23921
end to end dis 1.24164
end to end dis 1.24286
end to end dis 1.24459
end to end dis 1.24668
end to end dis 1.24927
end to end dis 1.25006
end to end dis 1.25229
end to end dis 1.25414
end to end dis 1.25606
end to end dis 1.25737
end to end dis 1.25825
end to end dis 1.26047
end to end dis 1.26121
end to end dis 1.26245
end to end dis 1.26337
end to end dis 1.26562
end to end dis 1.2663
end to end dis 1.26704
end to end dis 1.26653
end to end dis 1.26955
end to end dis 1.27179
end to end dis 1.27115
end to end dis 1.27181
end to end dis 1.27324
end to end dis 1.27415
end to end dis 1.27485
end to end dis 1.27497
end to end dis 1.27604
end to end dis 1.27738
end to end dis 1.27802
end to end dis 1.27942
end to end dis 1.27993
end to end dis 1.27985
end to end dis 1.28027
end to end dis 1.28152
end to end dis 1.28299
end to end dis 1.28262
end to end dis 1.28311
end to end dis 1.28282
end to end dis 1.28425
end to end dis 1.28505
end to end dis 1.28647
end to end dis 1.28711
end to end dis 1.28675
end to end dis 1.28657
end to end dis 1.28827
end to end dis 1.28847
end to end dis 1.29059
end to end dis 1.29127
end to end dis 1.29134
end to end dis 1.29104
end to end dis 1.29278
end to end dis 1.29254
end to end dis 1.29169
end to end dis 1.29446
end to end dis 1.29475
end to end dis 1.29505
end to end dis 1.29519
end to end dis 1.2945
end to end dis 1.29497
end to end dis 1.29758
end to end dis 1.29696
end to end dis 1.29769
end to end dis 1.29654
end to end dis 1.2977
end to end dis 1.29705
end to end dis 1.29814
end to end dis 1.298
end to end dis 1.29879
end to end dis 1.29871
end to end dis 1.29937
end to end dis 1.3
end to end dis 1.30216
end to end dis 1.30047
end to end dis 1.30028
end to end dis 1.3025
end to end dis 1.30276
end to end dis 1.30188
end to end dis 1.30128
end to end dis 1.3027
end to end dis 1.30262
end to end dis 1.30391
end to end dis 1.30457
end to end dis 1.30321
end to end dis 1.30284
end to end dis 1.30294
end to end dis 1.30324
end to end dis 1.30543
end to end dis 1.3049
end to end dis 1.30483
end to end dis 1.30573
end to end dis 1.30575
end to end dis 1.30558
end to end dis 1.30614
end to end dis 1.30618
end to end dis 1.30626
end to end dis 1.30805
end to end dis 1.30739
end to end dis 1.30749
end to end dis 1.30879
end to end dis 1.30834
end to end dis 1.30882
end to end dis 1.30933
end to end dis 1.30902
end to end dis 1.30942
end to end dis 1.31016
end to end dis 1.30893
end to end dis 1.30901
end to end dis 1.31067
end to end dis 1.31022
end to end dis 1.30979
end to end dis 1.3111
end to end dis 1.31081
end to end dis 1.31139
end to end dis 1.31194
end to end dis 1.31159
end to end dis 1.31205
end to end dis 1.31255
end to end dis 1.3114
end to end dis 1.31268
end to end dis 1.31194
end to end dis 1.31222
end to end dis 1.31312
end to end dis 1.31428
end to end dis 1.3139
end to end dis 1.31402
end to end dis 1.3134
end to end dis 1.31373
end to end dis 1.31498
end to end dis 1.3151
end to end dis 1.31553
end to end dis 1.31601
end to end dis 1.31604
end to end dis 1.31591
end to end dis 1.31513
end to end dis 1.31615
end to end dis 1.31659
end to end dis 1.31686
end to end dis 1.31695
end to end dis 1.31687
end to end dis 1.31614
end to end dis 1.31683
end to end dis 1.31646
end to end dis 1.31646
end to end dis 1.31727
end to end dis 1.31634
end to end dis 1.31744
end to end dis 1.31766
end to end dis 1.31839
